GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
090010104004,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1054,1305.0,0.5343076845,Forest,Google,0.5,-1,-1,0.27203529006112,0.160153256704981,0.160153256704981,0.060536398467433,0.060536398467433,0.044792833146696,0.087817528142866,0.549881235154394,0.354789272030651,0.274940617577197,0.004754937820044,0.012329664347323,0.164852213368557,9.65,0.577422577422577,98,93.0,,0.173946360153257,0.180842911877395
090010104005,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1165,1123.0,0.4867048891,Forest,Google,0.5,-1,-1,0.288974695704968,0.257346393588602,0.257346393588602,0.09973285841496,0.09973285841496,0.0,0.0,0.622832369942196,0.383793410507569,0.311416184971098,0.004754937820044,0.012329664347323,0.164852213368557,11.52,0.624125874125874,94,93.0,,0.19946571682992,0.184327693677649
090010105001,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1248,1418.0,0.369056678,Forest,Google,0.4,-1,-1,0.452741340358879,0.614950634696756,0.614950634696756,0.275035260930889,0.275035260930889,0.16255442670537,0.318692231303949,0.573806881243063,0.36459802538787,0.286903440621532,0.094748675124458,0.245685518055281,0.194834115295874,18.86,0.807442557442557,88,93.0,,0.241184767277856,0.123413258110014
090010105002,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,941,949.0,0.2987588761,Forest,Google,0.4,-1,-1,0.373889486759994,0.468914646996839,0.468914646996839,0.192834562697576,0.192834562697576,0.0,0.0,0.451070336391437,0.310853530031612,0.225535168195719,0.094748675124458,0.245685518055281,0.194834115295874,18.66,0.802447552447553,85,93.0,,0.219178082191781,0.091675447839831
090010105003,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,2455,2536.0,0.7951809121,Forest,Google,0.4,-1,-1,0.398895654803659,0.287066246056782,0.287066246056782,0.374211356466877,0.374211356466877,0.171589310829817,0.336405359390036,0.427927927927928,0.299684542586751,0.213963963963964,0.094748675124458,0.245685518055281,0.194834115295874,13.46,0.672577422577423,99,93.0,,0.17981072555205,0.1198738170347
090010105004,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1926,1575.0,0.4574663551,Forest,Google,0.4,-1,-1,0.374995773895541,0.471111111111111,0.471111111111111,0.259047619047619,0.259047619047619,0.0,0.0,0.458333333333333,0.314285714285714,0.229166666666667,0.094748675124458,0.245685518055281,0.194834115295874,16.12,0.739010989010989,88,93.0,,0.233015873015873,0.081269841269841
090010106001,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,738,950.0,0.3772247279,Forest,Google,0.3,-1,-1,0.371679316448507,0.352631578947368,0.352631578947368,0.273695420660277,0.273695420660277,0.109780439121756,0.215227439857128,0.489028213166144,0.328421052631579,0.244514106583072,0.0,0.0,0.135384412498821,22.23,0.891608391608392,89,93.0,,0.149473684210526,0.178947368421053
090010106002,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1146,992.0,0.5059529391,Forest,Google,0.3,-1,-1,0.370679699175876,0.272177419354839,0.272177419354839,0.162298387096774,0.162298387096774,0.144688644688645,0.283665895508001,0.861163227016886,0.462701612903226,0.430581613508443,0.0,0.0,0.135384412498821,19.41,0.821178821178821,98,93.0,,0.142137096774194,0.320564516129032
090010107001,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1058,766.0,0.2743279308,Forest,Google,0.4,-1,-1,0.418695031381478,0.392950391644909,0.392950391644909,0.263707571801567,0.263707571801567,0.103837471783296,0.203576095996198,0.877450980392157,0.467362924281984,0.438725490196078,0.068922305764411,0.178717141691438,0.238075428649849,17.08,0.762987012987013,90,93.0,,0.139686684073107,0.327676240208877
090010107002,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,952,909.0,0.5418230446,Forest,Google,0.5,-1,-1,0.427323848023449,0.276127612761276,0.276127612761276,0.089108910891089,0.089108910891089,0.135849056603773,0.266335650446872,1.746223564954683,0.635863586358636,0.873111782477341,0.068922305764411,0.178717141691438,0.238075428649849,11.53,0.624375624375624,93,93.0,,0.194719471947195,0.441144114411441
090010107003,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1563,1716.0,1.0637235451,Forest,Google,0.5,-1,-1,0.424886884554213,0.383449883449883,0.383449883449883,0.391608391608392,0.391608391608392,0.125382262996942,0.245815226138741,1.219922380336352,0.5495337995338,0.609961190168176,0.068922305764411,0.178717141691438,0.238075428649849,5.72,0.479270729270729,97,93.0,,0.348484848484849,0.201048951048951
090010108001,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,860,993.0,0.4549961588,Forest,Google,0.5,-1,-1,0.361961571606543,0.339375629405841,0.339375629405841,0.346424974823766,0.346424974823766,0.018947368421053,0.037146814404432,0.913294797687861,0.477341389728097,0.456647398843931,0.032688458972648,0.084761934312798,0.116029231389434,12.84,0.657092907092907,82,93.0,,0.298086606243706,0.179254783484391
090010108002,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,927,943.0,0.5979864348,Forest,Google,0.5,-1,-1,0.290298894514981,0.132555673382821,0.132555673382821,0.115508021390374,0.115508021390374,0.03202846975089,0.062792657801086,0.827519379844961,0.452810180275716,0.413759689922481,0.032688458972648,0.084761934312798,0.116029231389434,8.74,0.554695304695305,95,93.0,,0.237539766702015,0.215270413573701
090010108003,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1348,1356.0,0.8335817467,Forest,Google,0.5,-1,-1,0.285611137442568,0.160029498525074,0.160029498525074,0.079646017699115,0.079646017699115,0.032851511169514,0.064406252161284,0.725190839694656,0.420353982300885,0.362595419847328,0.032688458972648,0.084761934312798,0.116029231389434,9.6,0.576173826173826,99,93.0,,0.294247787610619,0.126106194690265
090010109001,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1485,1332.0,0.6942932292,Forest,Google,0.5,-1,-1,0.338534045583616,0.141141141141141,0.141141141141141,0.073573573573573,0.073573573573573,0.158555729984301,0.310852681153433,0.985096870342772,0.496246246246246,0.492548435171386,0.059792556436852,0.155043489365325,0.103933650406992,9.68,0.578171828171828,100,93.0,A,0.331831831831832,0.164414414414414
090010109002,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1750,1669.0,0.7631328434,Forest,Google,0.5,-1,-1,0.349545335357964,0.45176752546435,0.45176752546435,0.075494307968844,0.075494307968844,0.082271147161066,0.161294749039458,0.743991640543365,0.426602756141402,0.371995820271682,0.059792556436852,0.155043489365325,0.103933650406992,11.41,0.621378621378621,99,93.0,,0.286399041342121,0.140203714799281
090010109003,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1116,1241.0,0.6340730913,Forest,Google,0.5,-1,-1,0.331608183651239,0.576954069298952,0.576954069298952,0.0,0.0,0.0,0.0,0.855007473841555,0.460918614020951,0.427503736920777,0.059792556436852,0.155043489365325,0.103933650406992,8.07,0.537962037962038,100,93.0,,0.32232070910556,0.138597904915391
090010109004,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,928,1075.0,0.5162057924,Forest,Google,0.5,-1,-1,0.34126950574908,0.558139534883721,0.558139534883721,0.007441860465116,0.007441860465116,0.121031746031746,0.237285923141186,0.553468208092486,0.356279069767442,0.276734104046243,0.059792556436852,0.155043489365325,0.103933650406992,8.07,0.537962037962038,98,93.0,,0.241860465116279,0.114418604651163
090010110001,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1550,2085.0,1.2026331999,Forest,Google,0.5,-1,-1,0.274917030519541,0.25515587529976,0.25515587529976,0.011031175059952,0.011031175059952,0.0,0.0,0.900638103919781,0.473860911270983,0.450319051959891,0.005459153831156,0.014155712841254,0.075358423323355,8.73,0.554445554445555,100,93.0,,0.349640287769784,0.124220623501199
090010110002,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1396,1357.0,0.9168671424,Forest,Google,0.5,-1,-1,0.30156478820489,0.218128224023581,0.218128224023581,0.037582903463522,0.037582903463522,0.0,0.0,1.331615120274914,0.571112748710391,0.665807560137457,0.005459153831156,0.014155712841254,0.075358423323355,8.82,0.556693306693307,87,93.0,C,0.473839351510685,0.097273397199705
090010110003,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,817,861.0,0.4724103733,Forest,Google,0.5,-1,-1,0.286179805674811,0.16376306620209,0.16376306620209,0.111498257839721,0.111498257839721,0.018276762402089,0.035832073656727,0.943566591422122,0.48548199767712,0.471783295711061,0.005459153831156,0.014155712841254,0.075358423323355,9.58,0.575674325674326,88,93.0,,0.383275261324042,0.102206736353078
090010110004,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,763,638.0,0.4743499318,Forest,Google,0.5,-1,-1,0.299928986811201,0.335423197492163,0.335423197492163,0.036050156739812,0.036050156739812,0.0,0.0,1.222996515679442,0.550156739811912,0.611498257839721,0.005459153831156,0.014155712841254,0.075358423323355,5.85,0.482517482517483,86,93.0,,0.288401253918495,0.261755485893417
090010110005,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,897,656.0,0.604693562,Forest,Google,0.5,-1,-1,0.233972695545157,0.053353658536585,0.053353658536585,0.018292682926829,0.018292682926829,0.0,0.0,0.853107344632768,0.460365853658537,0.426553672316384,0.005459153831156,0.014155712841254,0.075358423323355,4.72,0.454295704295704,92,93.0,A,0.289634146341463,0.170731707317073
